ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
134.9159088,141.4850311,146.3959351,144.6303101,0.094756134,0.090231761,0.080423579,0.120121688,15,9,18,9
131.8757477,141.110733,141.6401062,145.5208282,0.094477788,0.089655608,0.080376729,0.119314998,16,9,16,11
131.2238922,144.2574005,123.7999725,137.5300903,0.094612122,0.088606723,0.079947136,0.1180586,13,9,22,9
135.0315552,140.2718964,142.5134583,131.2371368,0.095185019,0.086546667,0.081232555,0.115313485,16,10,14,15
122.6179504,139.6489716,139.5706177,146.0123138,0.09526626,0.086106196,0.081742294,0.114787742,25,9,16,10
130.0455017,144.2133331,137.5744019,144.6155243,0.094755091,0.085147098,0.083167329,0.113714442,20,9,18,9
124.8361511,136.289032,140.0088806,139.9891357,0.092282936,0.084403791,0.083978496,0.113128833,26,12,16,11
130.0736389,146.3526611,141.3105621,144.9017487,0.090931214,0.083884783,0.084417626,0.11258626,14,9,16,9
129.9994812,146.2414856,129.7955933,131.447464,0.089083567,0.083473384,0.084644787,0.111900218,16,9,22,12
132.8814392,141.733078,136.5679474,138.0945435,0.087818168,0.083032936,0.084961839,0.111361347,14,9,19,9
137.5617523,-181.6251678,127.3573532,146.5496216,0.086472154,0.080350153,0.085391723,0.110729419,16,50,26,10
139.9486542,-103.1377258,142.7078552,144.036026,0.084781282,0.076529406,0.085679732,0.109479122,15,50,19,9
142.5019073,134.5913544,135.1704102,145.5570984,0.084918417,0.073172651,0.084794961,0.108476974,17,16,15,9
131.5759888,126.7574692,138.3433228,140.188736,0.085159943,0.07238625,0.083944447,0.107951984,14,20,16,10
145.2214966,137.1135254,138.1063995,130.4842072,0.085720718,0.071894839,0.083005674,0.107374862,15,14,24,13
137.8427734,133.8677673,142.4599609,134.3798523,0.085971184,0.071617208,0.082546189,0.1070209,14,11,13,9
136.8263397,141.5771332,133.335495,142.1788788,0.086459517,0.070727691,0.080042765,0.106426522,14,14,21,9
142.8673401,137.9677124,139.1655884,141.6876678,0.088619426,0.067745388,0.076543473,0.105002366,15,16,20,9
133.2957916,137.0055847,137.343338,144.0449524,0.089007549,0.066918634,0.076306418,0.104439698,15,12,14,9
140.4988556,144.6754456,146.4206543,145.5362701,0.089559935,0.064538345,0.075769082,0.104142606,15,11,16,9
130.6265259,146.3305359,135.708313,145.906311,0.089967057,0.064103946,0.075915486,0.103877395,16,11,14,9
130.4243317,137.0226288,135.5827484,142.0901184,0.089834489,0.063666061,0.076541275,0.10362228,15,11,21,9
142.6943817,146.9668732,130.9026642,145.1177063,0.090100154,0.063145258,0.076983236,0.10335882,16,11,15,10
119.3759842,146.613266,145.1872101,143.6285858,0.091016032,0.062824279,0.076942138,0.103001282,36,10,20,9
142.0309906,130.2826691,141.056015,137.8000641,0.091938935,0.061775699,0.076421738,0.102287941,16,14,17,9
141.0168152,144.9608765,141.5082245,139.1468201,0.092053816,0.061348516,0.075793035,0.101866446,14,11,18,9
138.8245392,142.1345978,133.5828705,145.8383636,0.092137739,0.060686346,0.075466894,0.101291507,13,10,16,9
130.27388,139.8235168,131.1395416,132.0930481,0.093011148,0.060042616,0.076445036,0.100927167,16,10,23,8
135.410141,139.6811218,137.9997406,133.4881592,0.092733212,0.059581671,0.076890379,0.100362502,18,10,18,8
-49.65225601,143.1761169,134.5153503,132.8592224,0.091490202,0.05835741,0.076867871,0.098854974,50,10,18,8
104.9357071,142.3948669,133.9265747,143.8291779,0.089113615,0.057626303,0.075722903,0.098377109,37,11,19,9
132.5705109,140.9150238,137.1767426,141.5539703,0.087840393,0.057371255,0.075708993,0.098021671,16,10,15,9
125.732132,144.3278351,142.6558838,134.4964447,0.086969711,0.05694538,0.075709336,0.097353749,18,11,21,9
121.1257858,139.8918152,131.2459412,140.1723022,0.087373503,0.05677503,0.076405965,0.096905455,27,10,16,10
126.1539001,139.8826904,143.0737152,142.8306885,0.087392569,0.056574259,0.076878421,0.09665405,23,10,20,9
127.6221161,144.0072937,138.2138519,145.4631805,0.087762147,0.056330901,0.077212833,0.09652064,22,10,16,9
127.4216309,139.9463348,138.0994415,133.4202118,0.088441625,0.056180481,0.077200383,0.096301325,19,10,17,11
127.6225967,133.5488586,139.0899506,130.8302155,0.089076117,0.056005076,0.077626273,0.096004277,24,9,16,18
128.145874,145.3428497,131.4545288,147.1074829,0.089239433,0.055726528,0.077806629,0.095734157,18,11,30,9
133.22052,140.1376495,131.3267212,141.4644012,0.089092024,0.055610653,0.078467518,0.095353335,23,10,26,10
124.5138931,146.2086487,135.213089,137.7810211,0.089420661,0.055425003,0.07871481,0.094918244,26,10,17,11
126.0310593,135.551178,139.4253235,132.5537262,0.088974409,0.05533126,0.0786715,0.094759718,22,10,15,8
120.0090485,142.2675629,131.3773193,144.3392334,0.089653417,0.054811601,0.076019801,0.09360148,34,10,20,9
132.5137634,147.326416,143.5009003,144.0704651,0.090758912,0.05478894,0.075645693,0.093054749,30,10,15,9
115.5718613,129.580368,134.726532,144.6068878,0.091051623,0.054454971,0.075236663,0.092401467,30,18,17,10
130.8597565,145.3826447,137.9927979,136.1016541,0.092171602,0.054182239,0.074358679,0.091729604,17,10,23,9
129.9093018,142.3585358,-58.25060272,129.451889,0.092466719,0.054011814,0.072900862,0.090119049,22,9,27,14
129.2371368,128.9782562,140.877243,144.304184,0.091812313,0.053951059,0.072379798,0.089764133,26,17,16,9
135.0244598,147.7762756,139.3466187,142.0537262,0.091499574,0.053916071,0.071536668,0.089186929,25,10,19,10
128.6709595,143.8404083,128.3930359,146.260025,0.090868458,0.053872194,0.071491964,0.088837244,23,10,23,10
137.8777161,144.587738,137.1733551,134.9837952,0.090001166,0.053769343,0.070657343,0.088357322,20,10,20,9
123.5403137,134.8414307,128.6845703,141.0565948,0.090681598,0.05370434,0.070419364,0.088006094,24,9,27,9
129.1542969,138.1552887,145.4550476,136.1899719,0.09053842,0.053691257,0.070359513,0.08754468,23,9,18,9
